address,name,block
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,Binance: BNB Token,3978343
0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether: USDT Stablecoin,4634748
0x2b591e99afE9f32eAA6214f7B7629768c40Eeb39,HEX.com: HEX Token,9041184
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,6082465
0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,Uniswap Protocol: UNI token,10861674
0x514910771AF9Ca656af840dff83E8264EcF986CA,ChainLink: LINK Token,4281611
0x4Fabb145d64652a948d72533023f6E7A623C7C53,Binance USD,8493105
0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,Wrapped BTC: WBTC Token,6766284
0xD850942eF8811f2A866692A623011bDE52a462C1,VeChain: Old Token,4159827
0x6e1A19F235bE7ED8E3369eF73b196C07257494DE,Wrapped: WFIL Token,11179306
0x3883f5e181fccaF8410FA61e12b59BAd963fb645,Theta: Old Token,4728491
0xE1Be5D3f34e89dE342Ee97E6e90D405884dA6c67,TRON: TRX Token,12348841
0x6B175474E89094C44Da98b954EedeAC495271d0F,Dai Stablecoin,8928158
0x75231F58b43240C9718Dd58B4967c5114342a86c,OKEx: OKB Token,7641712
0xc944E90C64B2c07662A292be6244BDf05Cda44a7,The Graph: GRT Token,11446769
0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,Lido: stETH Token,11473216
0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,Lido: wstETH Token,11888477
0xA0b73E1Ff0B80914AB6fe0444E65848C4C34450b,Crypto.com Chain: CRO Token,6702068
0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,Maker Token,4620855
0xE83CCCfABD4eD148903Bf36d4283eE7C8b3494D1,BitTorrent: BTT Token,12295499
0x2AF5D2aD76741191D15Dfe7bF6aC92d4Bd912Ca3,Bitfinex: LEO Token,7803477
0xfF20817765cB7f73d4bde2e66e067E58D11095C2,Amp: AMP Token,10635417
0x6f259637dcD74C767781E37Bc6133cd6A68aa161,Huobi Token,5005233
0x6B3595068778DD592e39A122f4f5a5cF09C90fE2,SushiSwap: SUSHI Token,10736094
0xc00e94Cb662C3520282E6f5717214004A7f26888,Compound: COMP Token,9601359
0x4a220E6096B25EADb88358cb44068A3248254675,Quant: QNT Token,5392950
0xa47c8bf37f92aBed4A126BDA807A7b7498661acD,Terra: UST Token,11345219
0xaaAEBE6Fe48E54f431b0C390CfaF0b017d09D42d,Celsius Network: CEL Token,5409020
0x4E15361FD6b4BB609Fa63C81A2be19d873717870,Fantom: FTM Token,5787425
0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,Synthetix: Proxy SNX Token,8314597
0x3506424F91fD33084466F402d5D97f05F8e3b4AF,Chiliz: CHZ Token,6585593
0x6c6EE5e31d828De241282B9606C8e98Ea48526E2,Holo Token,5008746
0x0316EB71485b0Ab14103307bf65a021042c6d380,Huobi: HBTC Token,9076087
0xF629cBd94d3791C9250152BD8dfBDF380E2a3B9c,Enjin Coin,4329040
0x41AB1b6fcbB2fA9DCEd81aCbdeC13Ea6315F2Bf2,,4975471
0xE452E6Ea2dDeB012e20dB73bf5d3863A3Ac8d77a,Wrapped: wCELO Token,11459351
0x16631e53C20Fd2670027C6D53EfE2642929b285C,Safemoon: pSAFEMOON Token,12729338
0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,Ygov.finance: YFI Token,10475744
0x0000000000085d4780B73119b644AE5ecd22b376,TrueUSD: TUSD Token,6988184
0x467Bccd9d29f223BcE8043b84E8C8B282827790F,Telcoin: TEL Token,9369177
0x05f4a42e251f2d52b8ed15E9FEdAacFcEF1FAD27,Zilliqa Token,4895439
0x3103dF8F05c4D8aF16fD22AE63E406b97FeC6938,Qtum: Wrapped Qtum Token,11305412
0xFd09Cf7cFffa9932e33668311C4777Cb9db3c9Be,Decentraland: wMANA Token,9351139
0x799a4202c12ca952cB311598a024C80eD371a41e,HarmonyOne Token,8493130
0x0D8775F648430679A709E98d2b0Cb6250d2887EF,Basic Attention: BAT Token,3788558
0xf34960d9d60be18cC1D5Afc1A6F012A723a28811,KuCoin: KCS Token,11638804
0xB62132e35a6c13ee1EE0f84dC5d40bad8d815206,Nexo Token,5475683
0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,Bancor: BNT Token,3851136
0xd7c49CEE7E9188cCa6AD8FF264C1DA2e69D4Cf3B,Nexus Mutual: NXM Token,7815779
0x8E870D67F660D95d5be530380D0eC0bd388289E1,Paxos: USDP Token,6294931
0xfd1e80508F243E64CE234eA88A5Fd2827c71D4b7,MediBloc: MEDX Token,5689430
0xd26114cd6EE289AccF82350c8d8487fedB8A0C07,OMG Network: OMG Token,3978297
0xE41d2489571d322189246DaFA5ebDe1F4699F498,0x: ZRX Token,4145415
0x8dAE6Cb04688C62d939ed9B68d32Bc62e49970b1,,11538358
0x3845badAde8e6dFF049820680d1F14bD3903a5d0,The Sandbox Token,8835135
0x04Fa0d235C4abf4BcF4787aF4CF447DE572eF828,UMA: UMA Token,9247089
0xba9d4199faB4f26eFE3551D490E3821486f135Ba,,4470432
0xEB4C2781e4ebA804CE9a9803C67d0893436bB27D,Ren: renBTC Token,9736969
0xFA1a856Cfa3409CFa145Fa4e20Eb270dF3EB21ab,IOST: Old Token,4888399
0x6fB3e0A217407EFFf7Ca062D46c26E5d60a14d69,IoTeX Network Token,5652745
0x8CE9137d39326AD0cD6491fb5CC0CbA0e089b6A9,Swipe: SXP Token,8363030
0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,Loopring: LRC Token,7544036
0x39Bb259F66E1C59d5ABEF88375979b4D20D98022,Worldwide Asset eXchange: WAX Token,4761555
0x3597bfD533a99c9aa083587B074434E61Eb0A258,DENT Token,4010949
0x111111111117dC0aa78b770fA6A738034120C302,1inch Network: 1INCH Token,11511393
0xa1faa113cbE53436Df28FF0aEe54275c13B40975,Alpha Finance Lab: ALPHA Token,10943736
0x8400D94A5cb0fa0D041a3788e395285d61c9ee5e,Unibright: UBT Token,4892029
0x7DD9c5Cba05E151C895FDe1CF355C9A1D5DA6429,Golem: GLM Token,11281056
0x58b6A8A3302369DAEc383334672404Ee733aB239,Livepeer: LPT Token,5533907
0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,Fetch.ai: FET Token,10998076
0x0FD10b9899882a6f2fcb5c371E17e70FdEe00C38,Pundi X: PUNDIX Token,11995547
0xdF574c24545E5FfEcb9a659c229253D4111d87e1,HUSD Stablecoin,8174400
0x6810e776880C02933D47DB1b9fc05908e5386b96,Gnosis: GNO Token,3557596
0x476c5E26a75bd202a9683ffD34359C0CC15be0fF,Serum: SRM Token,10570346
0xe28b3B32B6c345A34Ff64674606124Dd5Aceca30,Injective Protocol: INJ Token,11072329
0x956F47F50A910163D8BF957Cf5846D573E7f87CA,Fei Protocol: FEI Token,12125705
0x8207c1FfC5B6804F6024322CcF34F29c3541Ae26,Origin: OGN Token,6436154
0x967da4048cD07aB37855c090aAF366e4ce1b9F48,Ocean Protocol: OCEAN Token,10945544
0x4691937a7508860F876c9c0a2a617E7d9E945D4B,Wootrade Network: WOO Token,11067236
0x744d70FDBE2Ba4CF95131626614a1763DF805B9E,Status Network Token,3898960
0x69af81e73A73B40adF4f3d4223Cd9b1ECE623074,Mask Network: MASK Token,11886238
0xc7283b66Eb1EB5FB86327f08e1B5816b0720212B,Fei Protocol: Tribe,12125705
0x0c7D5ae016f806603CB1782bEa29AC69471CAb9c,Bifrost: BFC Token,10152914
0x178c820f862B14f316509ec36b13123DA19A6054,Energy Web: EWTB Token,9817823
0xBA11D00c5f74255f56a5E366F4F77f5A186d7f55,Band Protocol: BAND Token,8514296
0x607F4C5BB672230e8672085532f7e901544a7375,RLC Token,3557261
0xba100000625a3754423978a60c9317c58a424e3D,Balancer: BAL Token,10299683
0x767FE9EDC9E0dF98E07454847909b5E959D7ca0E,Illuvium: ILV Token,12084124
0xAC51066d7bEC65Dc4589368da368b212745d63E8,ALICE: ALICE Token,11958870
0x5Cf04716BA20127F1E2297AdDCf4B5035000c9eb,,6973737
0x45804880De22913dAFE09f4980848ECE6EcbAf78,Paxos Gold: PAXG Token,8426430
0xbE9375C6a420D2eEB258962efB95551A5b722803,StormX Global: STMX Token,10046294
0x9992eC3cF6A55b00978cdDF2b27BC6882d88D1eC,Polymath Token,4994844
0x221657776846890989a759BA2973e427DfF5C9bB,Augur: REPv2 Token,10544033
0x853d955aCEf822Db058eb8505911ED77F175b99e,Frax Finance: FRAX Token,11465581
0xfc82bb4ba86045Af6F327323a46E80412b91b27d,Prometeus Network Token,7789253
0x419D0d8BdD9aF5e606Ae2232ed285Aff190E711b,FunFair Token,3988945
0xB4EFd85c19999D84251304bDA99E90B92300Bd93,Rocket Pool: RPL Token,3988945
0x4F9254C83EB525f9FCf346490bbb3ed28a81C667,Celer Network: CELR Token,7107317
0x43Dfc4159D86F3A37A5A4B3D4580b888ad7d4DDd,DODOEX: DODO Token,10956992
0xcca0c9c383076649604eE31b20248BC04FdF61cA,BitMax: BTMX Token,10132762
0x57Ab1ec28D129707052df4dF418D58a2D46d5f51,Synthetix: Proxy sUSD Token,8621971
0x580c8520dEDA0a441522AEAe0f9F7A5f29629aFa,FB Chain: DAWN Token,9976279
0xF433089366899D83a9f26A773D59ec7eCF30355e,Metal: MTL Token,3947745
0xff56Cc6b1E6dEd347aA0B7676C85AB0B3D08B0FA,Orbs Token,5710114
0x1776e1F26f98b1A5dF9cD347953a26dd3Cb46671,Numeraire Token,3902326
0x8A2279d4A90B6fe1C4B30fa660cC9f926797bAA2,Chromia: CHR Token,10988298
0x4C19596f5aAfF459fA38B0f7eD92F11AE6543784,TrustToken: TRU Token,10188190
0xCC8Fa225D80b9c7D42F96e9570156c65D6cAAa25,Axie Infinity: SLP Token,12314545
0xA2120b9e674d3fC3875f415A7DF52e382F141225,Automata Network: ATA Token,12538085
0x4575f41308EC1483f3d399aa9a2826d74Da13Deb,Orchid: OXT Token,9045597
0x85Eee30c52B0b379b046Fb0F85F4f3Dc3009aFEC,Keep: KEEP Token,9958363
0xbf2179859fc6D5BEE9Bf9158632Dc51678a4100e,Aelf: ELF Token,4753621
0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Finance: FXS Token,11465584
0x6c28AeF8977c9B773996d0e8376d2EE379446F2f,QuickSwap: QUICK Token,11016044
0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32,Lido: LDO Token,11473216
0xB64ef51C888972c908CFacf59B47C1AfBC0Ab8aC,Storj Token,3898942
0x80fB784B7eD66730e8b1DBd9820aFD29931aab03,Aave: LEND Token,4285018
0x056Fd409E1d7A124BD7017459dFEa2F387b6d5Cd,Gemini Dollar,6301780
0xdeFA4e8a7bcBA345F687a2f1456F5Edd9CE97202,Kyber Network: KNC Token,12224343
0xa117000000f279D81A1D3cc75430fAA017FA5A2e,Aragon: ANT Token,11060110
0x5B7533812759B45C2B44C19e320ba2cD2681b542,SingularityNET: AGIX Token,12326815
0xdd974D5C2e2928deA5F71b9825b8b646686BD200,Kyber: Old KNC Token,4264898
0x8f8221aFbB33998d8584A2B05749bA73c37a938a,Request Token,4345153
0xDe30da39c46104798bB5aA3fe8B9e0e1F348163F,Gitcoin: GTC Token,12422079
0xE95A203B1a91a908F9B9CE46459d101078c2c3cb,Ankr ETH2 Reward Bearing Certificate: aETHB Token,11225111
0x8806926Ab68EB5a7b909DcAf6FdBe5d93271D6e2,Uquid: UQC Token,10982432
0x818Fc6C2Ec5986bc6E2CBf00939d90556aB12ce5,Kin: Old Token,4261393
0xec67005c4E498Ec7f55E092bd1d35cbC47C91892,Enzyme Finance: MLN Token,7130380
0x26E75307Fc0C021472fEb8F727839531F112f317,Crypto20: C20 Token,4363332
0xD417144312DbF50465b1C641d016962017Ef6240,Covalent: CQT Token,12474448
0x77FbA179C79De5B7653F68b5039Af940AdA60ce0,Ampleforth Governance: FORTH Token,12141775
0x389999216860AB8E0175387A0c90E5c52522C945,Feg: FEG Token,11762222
0xB63B606Ac810a52cCa15e44bB630fd42D8d1d83d,Crypto.com: MCO Token,3933409
0xD291E7a03283640FDc51b121aC401383A46cC623,Rari Capital: RGT Token,11094181
0xEA26c4aC16D4a5A106820BC8AEE85fd0b7b2b664,QuarkChain Token,5718081
0x595832F8FC6BF59c85C527fEC3740A1b7a361269,PowerLedgerToken,3811884
0xb59490aB09A0f526Cc7305822aC65f2Ab12f9723,Litentry: LIT Token,11718562
0xaA7a9CA87d3694B5755f213B5D04094b8d0F0A6F,Origin Trail: TRAC Token,4961540
0x0d438F3b5175Bebc262bF23753C1E53d03432bDE,Wrapped NXM: wNXM Token,10383026
0x5228a22e72ccC52d415EcFd199F99D0665E7733b,pTokens: pBTC Token,9604186
0xFca59Cd816aB1eaD66534D82bc21E7515cE441CF,Rarible: RARI Token 1,10457021
0x55296f69f40Ea6d20E478533C15A6B08B654E758,XYO Foundation: XYO Token,4862225
0xDF2C7238198Ad8B389666574f2d8bc411A4b7428,Mainframe Token,5904665
0x56d811088235F11C8920698a204A5010a788f4b3,bZx Protocol Token,10441143
0x0391D2021f89DC339F60Fff84546EA23E337750f,BarnBridge: BOND Token,10815462
0xEE06A81a695750E71a662B51066F2c74CF4478a0,Decentral Games: $DG Token,11334105
0xcB97e65F07DA24D46BcDD078EBebd7C6E6E3d750,Bytom: Old Token,4015876
0x13f11C9905A08ca76e3e853bE63D4f0944326C72,Divi Exchange Token,4265107
0x88dF592F8eb5D7Bd38bFeF7dEb0fBc02cf3778a0,Tellor Tributes: TRB Token,11895800
0xdB25f211AB05b1c97D595516F45794528a807ad8,Stasis: EURS Token,5835251
0x5e3346444010135322268a4630d2ED5F8D09446c,LockChainToken,4303231
0x84cA8bc7997272c7CfB4D0Cd3D55cd942B3c9419,DIA Data: DIA Token,9010514
0x115eC79F1de567eC68B7AE7eDA501b406626478e,Carry Protocol: CRE Token,5844508
0x5218E472cFCFE0b64A064F055B43b4cdC9EfD3A6,UnFederalReserve: eRSDL Token,10908965
0x5Ca381bBfb58f0092df149bD3D243b08B9a8386e,MXC: MXC Token,6111735
0x2F109021aFe75B949429fe30523Ee7C0D5B27207,OccamFi: OCC Token,12114725
0xE5B826Ca2Ca02F09c1725e9bd98d9a8874C30532,Zeon Token,6520711
0x1955d744F9435522Be508D1Ba60E3c12D0690B6A,WPPToken: WPP Token,10523277
0x584bC13c7D411c00c01A62e8019472dE68768430,Hegic: HEGIC Token,10619150
0x362bc847A3a9637d3af6624EeC853618a43ed7D2,PARSIQ: PRQ Token,11011736
0x0a50C93c762fDD6E56D86215C24AaAD43aB629aa,LGO Exchange: LGO Token,8124852
0x93ED3FBe21207Ec2E8f2d3c3de6e058Cb73Bc04d,Pinakion Token,5257012
0xd4fa1460F537bb9085d22C7bcCB5DD450Ef28e3a,Populous Token,4000506
0x1614F18Fc94f47967A3Fbe5FfcD46d4e7Da3D787,PAID Network: PAID Token,12002538
0x8c15Ef5b4B21951d50E53E4fbdA8298FFAD25057,Function X Token,6965508
0xfB7B4564402E5500dB5bB6d63Ae671302777C75a,DEXTools.io:: DEXT Token,12755070
0x77777FeDdddFfC19Ff86DB637967013e6C6A116C,Tornado.Cash: TORN Token,11474599
0xDFe66B14D37C77F4E9b180cEb433d1b164f0281D,StakeHound: stETH Token,11296329
0x5732046A883704404F284Ce41FfADd5b007FD668,,4911588
0x3593D125a4f7849a1B059E64F4517A86Dd60c95d,MANTRA DAO: OM Token,11470888
0xDe7D85157d9714EADf595045CC12Ca4A5f3E2aDb,STP Network Token,7897819
0x8a854288a5976036A725879164Ca3e91d30c6A1B,,4362205
0xE5Dada80Aa6477e85d09747f2842f7993D0Df71C,Dock Token,5127660
0xd0929d411954c47438dc1d871dd6081F5C5e149c,Refereum,4313345
0x0000000000095413afC295d19EDeb1Ad7B71c952,Tokenlon: LON Token,11494389
0x7B0C06043468469967DBA22d1AF33d77d44056c8,Morpheus.Network Token,5838376
0x57B946008913B82E4dF85f501cbAeD910e58D26C,Marlin: POND Token,11463091
0xCF3C8Be2e2C42331Da80EF210e9B1b307C03d36A,BetProtocol: BEPRO Token,10950415
0x168296bb09e24A88805CB9c33356536B980D3fC5,RChain Token,3383352
0xC86D054809623432210c107af2e3F619DcFbf652,Uppsala Token,5658889
0x1b40183EFB4Dd766f11bDa7A7c3AD8982e998421,Vesper Finance: Vesper Token,11835649
0x91Af0fBB28ABA7E31403Cb457106Ce79397FD4E6,Aergo: AERGO Token,10954411
0x89d24A6b4CcB1B6fAA2625fE562bDD9a23260359,Sai Stablecoin,4752008
0xa2791BdF2D5055Cda4d46EC17f9F429568275047,Nuls: NULS Token,10909756
0x940a2dB1B7008B6C776d4faaCa729d6d4A4AA551,Dusk Network: DUSK Token,6867115
0x0Ae055097C6d159879521C384F1D2123D1f195e6,xDai: STAKE Token,9877421
0xE0B7927c4aF23765Cb51314A0E0521A9645F0E2A,DigixDAO: DGD Token,1409121
0xb753428af26E81097e7fD17f40c88aaA3E04902c,Saffron: SFI Token,11163720
0x0202Be363B8a4820f3F4DE7FaF5224fF05943AB1,UniLend Finance: UFT Token,11023444
0x37E1160184F7dD29f00b78C050Bf13224780b0B0,,5308009
0xa3d58c4E56fedCae3a7c43A725aeE9A71F0ece4e,Metronome Token,5659904
0x9B02dD390a603Add5c07f9fd9175b7DABE8D63B7,Shopping.io: SPI Token,11380571
0x96E61422b6A9bA0e068B6c5ADd4fFaBC6a4aae27,Iron Bank Fixed Forex: ibEUR Token,12857615
0xad3E3Fc59dff318BecEaAb7D00EB4F68b1EcF195,Wrapped: wCUSD Token,11459608
0xf8C3527CC04340b208C854E985240c02F7B7793f,Frontier: FRONT Token,10841775
0xb683D83a532e2Cb7DFa5275eED3698436371cc9f,BTU Protocol: BTU Token,5589237
0xb17C88bDA07D28B3838E0c1dE6a30eAfBCF52D85,Shyft Network: SHFT Token,12730376
0x1796ae0b0fa4862485106a0de9b654eFE301D0b2,Polychain Monsters: PMON Token,12116821
0xEC213F83defB583af3A000B1c0ada660b1902A0F,Presearch: PRE Token,11070525
